"","Serotype1","Serotype2","Freq","975tile"
"1","1","10A",1,4
"3","1","10C",1,0
"5","1","11A",1,4
"6","1","11B",1,1
"15","1","14",7,9
"16","1","15A",1,5
"17","1","15B/C",5,5
"20","1","16F",1,4
"22","1","17F",1,3
"25","1","18C",2,5
"27","1","19A",5,13
"30","1","19F",12,13
"35","1","21",1,3
"36","1","22A",1,1
"38","1","23A",4,4
"39","1","23B",2,3
"40","1","23F",6,10.025
"43","1","24F",1,2
"50","1","3",5,6
"61","1","35B",2,4
"66","1","38",3,2
"68","1","4",5,5
"72","1","42",1,1
"80","1","5",2,2
"81","1","6A",5,11
"82","1","6B",8,13
"83","1","6C/D",1,6
"89","1","7F",2,3
"94","1","9V",3,4
"95","10A","10B",7,1
"96","10A","10C",1,0
"97","10A","10F",3,1
"98","10A","11A",1,4
"101","10A","11D",1,0
"102","10A","11E",1,0
"109","10A","15A",2,4
"110","10A","15B/C",1,4
"120","10A","19A",4,11
"123","10A","19F",3,11.025
"130","10A","22F",1,3
"131","10A","23A",1,4
"132","10A","23B",1,3
"133","10A","23F",3,9
"143","10A","3",2,5
"174","10A","6A",4,10
"175","10A","6B",3,10
"176","10A","6C/D",2,5
"182","10A","7F",1,3
"184","10A","9A",1,1
"187","10A","9V",1,4
"189","10B","10F",2,0
"201","10B","15A",1,1
"202","10B","15B/C",1,1
"215","10B","19F",1,3
"222","10B","22F",1,1
"225","10B","23F",1,2
"266","10B","6A",1,3
"267","10B","6B",1,3
"268","10B","6C/D",1,2
"274","10B","7F",1,1
"306","10C","19F",1,1
"326","10C","3",1,1
"412","10F","27",1,0
"416","10F","3",1,2
"455","10F","7F",1,1
"461","11A","11B",1,1
"463","11A","11D",1,0
"464","11A","11E",1,0
"468","11A","12F",1,3
"469","11A","13",1,2
"470","11A","14",5,10
"471","11A","15A",3,4.02499999999998
"472","11A","15B/C",4,5
"473","11A","15F",2,1
"475","11A","16F",2,4
"478","11A","18A",1,2
"480","11A","18C",2,5
"482","11A","19A",9,13
"485","11A","19F",6,13.025
"492","11A","22F",1,4
"493","11A","23A",2,4
"494","11A","23B",2,4
"495","11A","23F",2,10
"499","11A","25A",1,1
"505","11A","3",4,6
"506","11A","31",1,2
"509","11A","33A",3,1
"510","11A","33B",1,1
"513","11A","33F",3,3
"515","11A","35A",2,1
"516","11A","35B",2,4
"518","11A","35F",2,2
"521","11A","38",2,2
"523","11A","4",1,5
"536","11A","6A",2,11
"537","11A","6B",3,13
"538","11A","6C/D",1,6
"543","11A","7B/C",1,3
"544","11A","7F",2,3
"545","11A","8",3,3.02499999999998
"546","11A","9A",2,1
"548","11A","9N",1,3
"549","11A","9V",8,4
"550","11B","11C",2,0
"558","11B","14",2,2
"573","11B","19F",1,2
"598","11B","33B",1,0
"600","11B","33D",1,0
"611","11B","4",1,1
"625","11B","6B",1,2
"632","11B","7F",1,1
"637","11B","9V",1,1
"645","11C","14",1,2
"718","11C","7B/C",1,0
"724","11C","9V",1,1
"725","11D","11E",1,0
"743","11D","19A",1,1
"755","11D","23B",1,0
"828","11E","19A",1,0
"840","11E","23B",1,0
"983","12A","14",1,2
"1063","12B","12F",3,1
"1113","12B","35F",1,0
"1116","12B","38",1,0
"1126","12B","46",1,0
"1132","12B","6B",2,2
"1139","12B","7F",1,1
"1146","12F","14",1,6
"1151","12F","16F",1,3
"1158","12F","19A",2,8
"1161","12F","19F",2,8
"1171","12F","23F",1,6
"1181","12F","3",2,3
"1197","12F","38",1,1
"1199","12F","4",2,3
"1207","12F","46",1,0
"1213","12F","6B",1,8
"1220","12F","7F",3,2
"1223","12F","9L",1,1
"1224","12F","9N",1,2
"1225","12F","9V",2,3
"1226","13","14",1,5
"1228","13","15B/C",2,3
"1233","13","17F",1,2
"1236","13","18C",1,3
"1238","13","19A",2,7
"1241","13","19F",1,7
"1243","13","2",1,1
"1249","13","23A",2,3
"1251","13","23F",3,6
"1262","13","31",1,1
"1272","13","35B",1,3
"1277","13","38",1,1
"1292","13","6A",1,7
"1293","13","6B",1,7
"1294","13","6C/D",1,4
"1302","13","9A",1,1
"1305","13","9V",2,3
"1306","14","15A",6,11
"1307","14","15B/C",6,12
"1315","14","18C",4,11
"1316","14","18F",1,2
"1317","14","19A",28,33
"1318","14","19B",1,3
"1319","14","19C",1,2
"1320","14","19F",22,34
"1325","14","21",1,6
"1327","14","22F",2,9
"1328","14","23A",2,9
"1329","14","23B",3,8
"1330","14","23F",11,26
"1333","14","24F",4,4
"1340","14","3",6,14
"1341","14","31",2,5
"1351","14","35B",4,10
"1353","14","35F",1,6
"1356","14","38",2,3
"1358","14","4",7,11
"1362","14","42",1,2
"1371","14","6A",8,29
"1372","14","6B",12,34
"1373","14","6C/D",3,15
"1374","14","6E",1,5
"1377","14","7A",1,1
"1378","14","7B/C",2,6
"1379","14","7F",4,7.02499999999998
"1380","14","8",1,8
"1381","14","9A",2,3
"1382","14","9L",2,3
"1383","14","9N",3,6
"1384","14","9V",11,10
"1385","15A","15B/C",15,6
"1386","15A","15F",4,1
"1390","15A","17F",1,3
"1393","15A","18C",1,5
"1395","15A","19A",13,15
"1396","15A","19B",1,1
"1398","15A","19F",10,15
"1403","15A","21",2,3
"1406","15A","23A",4,5
"1407","15A","23B",2,4
"1408","15A","23F",5,11
"1418","15A","3",5,6
"1419","15A","31",1,2
"1426","15A","33F",1,3
"1429","15A","35B",1,5
"1433","15A","37",1,1
"1434","15A","38",1,2
"1436","15A","4",1,5
"1449","15A","6A",2,13
"1450","15A","6B",4,14
"1451","15A","6C/D",1,7
"1456","15A","7B/C",1,3
"1458","15A","8",1,4
"1459","15A","9A",1,1
"1462","15A","9V",1,5
"1463","15B/C","15F",5,1
"1467","15B/C","17F",2,3
"1470","15B/C","18C",5,6
"1472","15B/C","19A",23,16
"1473","15B/C","19B",1,2
"1475","15B/C","19F",14,16
"1480","15B/C","21",2,3
"1481","15B/C","22A",1,2
"1482","15B/C","22F",1,5
"1483","15B/C","23A",7,5
"1484","15B/C","23B",2,4
"1485","15B/C","23F",8,12
"1486","15B/C","24A",1,1
"1488","15B/C","24F",2,2
"1495","15B/C","3",4,7
"1496","15B/C","31",2,2
"1505","15B/C","35A",1,2
"1506","15B/C","35B",5,5
"1511","15B/C","38",2,2
"1513","15B/C","4",3,5
"1526","15B/C","6A",6,14
"1527","15B/C","6B",8,15
"1528","15B/C","6C/D",4,8
"1533","15B/C","7B/C",2,3
"1535","15B/C","8",1,4
"1536","15B/C","9A",1,2
"1538","15B/C","9N",1,4
"1539","15B/C","9V",7,5.02499999999998
"1543","15F","17F",1,1
"1548","15F","19A",5,3
"1549","15F","19B",1,0
"1551","15F","19F",3,3
"1559","15F","23A",1,1
"1561","15F","23F",2,2
"1571","15F","3",2,2
"1579","15F","33F",1,1
"1600","15F","48",1,0
"1609","15F","7B/C",2,1
"1616","16A","16F",1,0
"1697","16F","19A",3,12
"1700","16F","19F",2,13
"1706","16F","22A",1,1
"1707","16F","22F",2,3.02499999999998
"1710","16F","23F",1,9
"1720","16F","3",1,6
"1724","16F","33A",1,1
"1728","16F","33F",1,2
"1735","16F","37",1,1
"1751","16F","6A",1,11
"1752","16F","6B",1,12
"1760","16F","8",2,3
"1842","17F","19A",2,8
"1845","17F","19F",1,9
"1847","17F","2",1,1
"1851","17F","22A",2,1
"1853","17F","23A",1,3
"1855","17F","23F",5,7
"1865","17F","3",1,4
"1876","17F","35B",1,3
"1877","17F","35C",1,1
"1881","17F","38",1,1
"1883","17F","4",1,3
"1894","17F","48",1,1
"1897","17F","6B",2,8
"1898","17F","6C/D",1,4
"1909","17F","9V",1,3
"1910","18A","18B",2,0
"1911","18A","18C",1,2
"1912","18A","18F",1,0
"1926","18A","23F",1,3
"1968","18A","6B",1,4
"1981","18B","18C",10,1
"1982","18B","18F",1,0
"1983","18B","19A",1,3
"1993","18B","22F",1,1
"1999","18B","24F",1,0
"2045","18B","7F",1,1
"2051","18C","18F",3,1
"2052","18C","19A",5,15
"2055","18C","19F",3,16
"2060","18C","21",3,3
"2062","18C","22F",2,5
"2065","18C","23F",2,12
"2068","18C","24F",2,2
"2075","18C","3",1,7
"2079","18C","33A",1,1
"2080","18C","33B",1,1
"2083","18C","33F",1,3
"2085","18C","35A",1,1
"2086","18C","35B",1,5
"2088","18C","35F",1,3
"2091","18C","38",1,2
"2093","18C","4",3,5
"2106","18C","6A",2,14
"2107","18C","6B",3,16
"2112","18C","7A",1,1
"2114","18C","7F",3,4
"2115","18C","8",1,4
"2118","18C","9N",1,4
"2119","18C","9V",2,5
"2120","18F","19A",1,3
"2123","18F","19F",1,3
"2129","18F","22A",1,0
"2133","18F","23F",1,2
"2136","18F","24F",1,1
"2174","18F","6A",1,3
"2175","18F","6B",1,3
"2176","18F","6C/D",1,2
"2182","18F","7F",1,1
"2188","19A","19B",1,3
"2189","19A","19C",1,2
"2190","19A","19F",60,46
"2191","19A","19А",1,0
"2195","19A","21",4,8
"2196","19A","22A",1,3
"2197","19A","22F",4,11
"2198","19A","23A",10,12
"2199","19A","23B",7,10
"2200","19A","23F",31,34
"2203","19A","24F",4,5
"2206","19A","27",1,2
"2209","19A","29",2,5
"2210","19A","3",8,18
"2211","19A","31",2,6
"2218","19A","33F",1,7
"2219","19A","34",4,12
"2221","19A","35B",8,12
"2222","19A","35C",1,4
"2225","19A","37",1,3
"2226","19A","38",1,4
"2228","19A","4",6,14
"2232","19A","42",2,2
"2240","19A","5",2,6
"2241","19A","6A",17,39
"2242","19A","6B",19,44
"2243","19A","6C/D",8,20
"2244","19A","6E",4,6
"2248","19A","7B/C",7,7.02499999999998
"2249","19A","7F",4,10
"2250","19A","8",2,10
"2251","19A","9A",5,3
"2252","19A","9L",1,3
"2253","19A","9N",3,9
"2254","19A","9V",13,13
"2256","19B","19F",2,3
"2264","19B","23A",1,1
"2266","19B","23F",1,3
"2267","19B","24A",1,0
"2276","19B","3",1,2
"2314","19B","7B/C",1,1
"2321","19C","19F",1,2
"2383","19C","9L",1,0
"2386","19F","19А",1,1
"2390","19F","21",4,8
"2392","19F","22F",3,11
"2393","19F","23A",11,12
"2394","19F","23B",6,11
"2395","19F","23F",26,35
"2398","19F","24F",3,6
"2402","19F","28A",1,2
"2404","19F","29",1,5
"2405","19F","3",14,19
"2406","19F","31",2,5
"2409","19F","33A",1,2
"2410","19F","33B",1,3
"2412","19F","33D",1,2
"2413","19F","33F",1,8
"2414","19F","34",1,11.025
"2416","19F","35B",5,12.025
"2418","19F","35F",3,7
"2420","19F","37",1,3
"2421","19F","38",2,4
"2423","19F","4",4,15
"2427","19F","42",1,2
"2434","19F","48",1,2.02499999999998
"2435","19F","5",2,5.02499999999998
"2436","19F","6A",16,40.025
"2437","19F","6B",13,46
"2438","19F","6C/D",7,21
"2443","19F","7B/C",3,8
"2444","19F","7F",3,10
"2445","19F","8",1,11
"2446","19F","9A",3,4
"2447","19F","9L",1,4
"2448","19F","9N",4,9
"2449","19F","9V",13,14
"2530","2","3",1,1
"2689","20B","7B/C",1,0
"2697","21","22F",1,2
"2700","21","23F",3,6
"2710","21","3",2,3
"2754","21","9V",1,3
"2755","22A","22F",1,1
"2771","22A","32F",1,0
"2780","22A","35C",1,0.0249999999999773
"2786","22A","4",1,1
"2790","22A","42",1,0
"2808","22A","8",1,1
"2813","22F","23A",2,4
"2815","22F","23F",1,9
"2817","22F","24B",1,1
"2818","22F","24F",2,2
"2824","22F","29",1,2
"2825","22F","3",2,5
"2829","22F","33A",1,1
"2833","22F","33F",2,2
"2836","22F","35B",2,4
"2837","22F","35C",1,1
"2843","22F","4",1,4
"2847","22F","42",1,1
"2865","22F","8",1,3
"2868","22F","9N",1,3
"2869","22F","9V",1,4
"2870","23A","23B",6,3
"2871","23A","23F",21,9
"2873","23A","24B",1,1
"2874","23A","24F",1,2
"2881","23A","3",3,6
"2882","23A","31",2,2
"2885","23A","33A",1,1
"2889","23A","33F",1,3
"2892","23A","35B",4,4
"2897","23A","38",3,2
"2899","23A","4",1,4
"2912","23A","6A",5,11
"2913","23A","6B",5,12
"2914","23A","6C/D",3,6
"2919","23A","7B/C",1,3
"2921","23A","8",1,3
"2922","23A","9A",1,1
"2925","23A","9V",1,4
"2926","23B","23F",8,9
"2936","23B","3",1,5
"2937","23B","31",1,2
"2947","23B","35B",2,3
"2958","23B","42",1,1
"2967","23B","6A",3,9
"2968","23B","6B",4,10
"2969","23B","6C/D",2,5
"2976","23B","8",1,3
"2980","23B","9V",1,4
"2983","23F","24F",2,4
"2989","23F","29",2,4
"2990","23F","3",7,14
"2991","23F","31",1,5
"2993","23F","32F",1,1
"3001","23F","35B",5,9
"3002","23F","35C",1,3
"3006","23F","38",1,4
"3008","23F","4",4,11
"3012","23F","42",1,2
"3016","23F","46",1,1
"3019","23F","48",1,2
"3020","23F","5",2,5
"3021","23F","6A",26,30
"3022","23F","6B",17,33.025
"3023","23F","6C/D",11,16
"3024","23F","6E",3,5
"3028","23F","7B/C",4,6
"3029","23F","7F",1,8
"3030","23F","8",1,9
"3031","23F","9A",1,3
"3032","23F","9L",1,3
"3033","23F","9N",1,7
"3034","23F","9V",6,11
"3036","24A","24F",1,0
"3072","24A","48",1,0
"3088","24B","24F",3,0
"3106","24B","35B",1,1
"3146","24F","3",2,3
"3157","24F","35B",2,2
"3164","24F","4",1,2
"3177","24F","6A",1,5
"3178","24F","6B",2,5.02499999999998
"3180","24F","6E",1,1
"3184","24F","7B/C",2,1
"3185","24F","7F",1,1
"3189","24F","9N",1,2
"3190","24F","9V",1,2
"3191","25A","25F",1,0
"3195","25A","29",1,0
"3212","25A","38",2,0
"3235","25A","7F",1,1
"3261","25F","38",1,0
"3391","28F","33B",1,0
"3393","28F","33D",1,0
"3437","29","33C",1,0
"3442","29","35B",7,2
"3443","29","35C",1,1
"3444","29","35F",1,1
"3465","29","6E",1,1
"3475","29","9V",1,2
"3479","3","33A",2,1
"3483","3","33F",3,4
"3486","3","35B",1,5
"3488","3","35F",2,3
"3490","3","37",3,2
"3491","3","38",1,2
"3493","3","4",1,6
"3497","3","42",1,1
"3504","3","48",1,1
"3506","3","6A",7,17
"3507","3","6B",8,19
"3508","3","6C/D",1,8.02499999999998
"3509","3","6E",1,3
"3512","3","7A",1,1
"3513","3","7B/C",1,4
"3514","3","7F",2,5
"3515","3","8",1,5
"3516","3","9A",2,2
"3519","3","9V",8,6
"3529","31","35B",1,2
"3534","31","38",1,1
"3558","31","8",1,2
"3559","31","9A",1,1
"3561","31","9N",1,2
"3562","31","9V",1,2
"3563","32A","32F",1,0
"3614","32F","35F",1,0
"3646","33A","33B",1,0
"3649","33A","33F",8,1
"3654","33A","35F",1,1
"3672","33A","6A",1,2
"3681","33A","8",1,1
"3687","33B","33D",3,0
"3688","33B","33F",1,1
"3693","33B","35F",1,1
"3711","33B","6A",2,2
"3712","33B","6B",1,3
"3750","33C","6B",1,2
"3786","33D","6A",2,2
"3787","33D","6B",2,2
"3804","33F","35F",1,2
"3806","33F","37",1,1
"3822","33F","6A",1,6.02499999999998
"3831","33F","8",1,2
"3835","33F","9V",1,3
"3841","34","37",1,1
"3856","34","5",1,2
"3857","34","6A",1,10.025
"3858","34","6B",2,12
"3859","34","6C/D",2,6
"3868","34","9L",1,1
"3871","35A","35B",2,1
"3872","35A","35C",3,1
"3873","35A","35F",1,1
"3904","35A","9V",3,1
"3905","35B","35C",2,2
"3909","35B","38",1,2
"3911","35B","4",2,4
"3924","35B","6A",6,11
"3925","35B","6B",5,12
"3926","35B","6C/D",3,6
"3930","35B","7A",1,1
"3931","35B","7B/C",1,3
"3934","35B","9A",1,1
"3936","35B","9N",1,3
"3937","35B","9V",5,4
"3938","35C","35F",2,1
"3939","35C","36",1,0
"3947","35C","42",4,0
"3969","35C","9V",1,2
"3987","35F","6A",1,7
"3995","35F","7F",1,2
"4046","37","6A",1,3
"4047","37","6B",1,3
"4061","38","4",1,2
"4080","38","7A",1,0
"4082","38","7F",2,1
"4084","38","9A",1,1
"4087","38","9V",1,2
"4126","4","5",1,2
"4128","4","6B",2,15
"4135","4","7F",2,4
"4136","4","8",1,4
"4138","4","9L",1,2
"4139","4","9N",3,3
"4140","4","9V",3,5
"4221","42","6A",1,2
"4222","42","6B",1,2
"4234","42","9V",1,1
"4300","46","6B",1,2
"4361","5","6A",1,5
"4375","6A","6B",73,39
"4376","6A","6C/D",58,18
"4377","6A","6E",11,6
"4378","6A","6F",2,1
"4379","6A","6G",1,0
"4382","6A","7F",1,9
"4383","6A","8",1,10
"4384","6A","9A",1,3
"4387","6A","9V",5,12
"4388","6B","6C/D",31,21
"4389","6B","6E",36,6
"4391","6B","6G",1,1
"4393","6B","7B/C",1,8
"4394","6B","7F",3,10.025
"4395","6B","8",3,11
"4396","6B","9A",3,3
"4398","6B","9N",1,8
"4399","6B","9V",9,14
"4400","6C/D","6E",3,3
"4401","6C/D","6F",2,0
"4402","6C/D","6G",1,0
"4405","6C/D","7F",1,5
"4406","6C/D","8",1,5
"4439","7A","7F",3,1
"4450","7B/C","9V",1,3
"4454","7F","9N",1,2
"4455","7F","9V",2,4
"4459","8","9V",1,4
"4460","9A","9L",1,0
"4462","9A","9V",10,1
"4463","9L","9N",6,1
"4464","9L","9V",1,2
"4465","9N","9V",4,3
