"","Sero1","Sero2","shared_mlst"
"1145","12F","13",0
"1146","12F","14",1
"1147","12F","15A",0
"1148","12F","15B/C",0
"1149","12F","15F",0
"1150","12F","16A",0
"1151","12F","16F",1
"1152","12F","17A",0
"1153","12F","17F",0
"1154","12F","18A",0
"1155","12F","18B",0
"1156","12F","18C",0
"1157","12F","18F",0
"1158","12F","19A",2
"1159","12F","19B",0
"1160","12F","19C",0
"1161","12F","19F",2
"1162","12F","19А",0
"1163","12F","2",0
"1164","12F","20A",0
"1165","12F","20B",0
"1166","12F","21",0
"1167","12F","22A",0
"1168","12F","22F",0
"1169","12F","23A",0
"1170","12F","23B",0
"1171","12F","23F",1
"1172","12F","24A",0
"1173","12F","24B",0
"1174","12F","24F",0
"1175","12F","25A",0
"1176","12F","25F",0
"1177","12F","27",0
"1178","12F","28A",0
"1179","12F","28F",0
"1180","12F","29",0
"1181","12F","3",2
"1182","12F","31",0
"1183","12F","32A",0
"1184","12F","32F",0
"1185","12F","33A",0
"1186","12F","33B",0
"1187","12F","33C",0
"1188","12F","33D",0
"1189","12F","33F",0
"1190","12F","34",0
"1191","12F","35A",0
"1192","12F","35B",0
"1193","12F","35C",0
"1194","12F","35F",0
"1195","12F","36",0
"1196","12F","37",0
"1197","12F","38",1
"1198","12F","39",0
"1199","12F","4",2
"1200","12F","40",0
"1201","12F","41A",0
"1202","12F","41F",0
"1203","12F","42",0
"1204","12F","43",0
"1205","12F","44",0
"1206","12F","45",0
"1207","12F","46",1
"1208","12F","47A",0
"1209","12F","47F",0
"1210","12F","48",0
"1211","12F","5",0
"1212","12F","6A",0
"1213","12F","6B",1
"1214","12F","6C/D",0
"1215","12F","6E",0
"1216","12F","6F",0
"1217","12F","6G",0
"1218","12F","7A",0
"1219","12F","7B/C",0
"1220","12F","7F",3
"1221","12F","8",0
"1222","12F","9A",0
"1223","12F","9L",1
"1224","12F","9N",1
"1225","12F","9V",2
"1226","13","14",1
"1227","13","15A",0
"1228","13","15B/C",2
"1229","13","15F",0
"1230","13","16A",0
"1231","13","16F",0
"1232","13","17A",0
"1233","13","17F",1
"1234","13","18A",0
"1235","13","18B",0
"1236","13","18C",1
"1237","13","18F",0
"1238","13","19A",2
"1239","13","19B",0
"1240","13","19C",0
"1241","13","19F",1
"1242","13","19А",0
"1243","13","2",1
"1244","13","20A",0
"1245","13","20B",0
"1246","13","21",0
"1247","13","22A",0
"1248","13","22F",0
"1249","13","23A",2
"1250","13","23B",0
"1251","13","23F",3
"1252","13","24A",0
"1253","13","24B",0
"1254","13","24F",0
"1255","13","25A",0
"1256","13","25F",0
"1257","13","27",0
"1258","13","28A",0
"1259","13","28F",0
"1260","13","29",0
"1261","13","3",0
"1262","13","31",1
"1263","13","32A",0
"1264","13","32F",0
"1265","13","33A",0
"1266","13","33B",0
"1267","13","33C",0
"1268","13","33D",0
"1269","13","33F",0
"1270","13","34",0
"1271","13","35A",0
"1272","13","35B",1
"1273","13","35C",0
"1274","13","35F",0
"1275","13","36",0
"1276","13","37",0
"1277","13","38",1
"1278","13","39",0
"1279","13","4",0
"1280","13","40",0
"1281","13","41A",0
"1282","13","41F",0
"1283","13","42",0
"1284","13","43",0
"1285","13","44",0
"1286","13","45",0
"1287","13","46",0
"1288","13","47A",0
"1289","13","47F",0
"1290","13","48",0
"1291","13","5",0
"1292","13","6A",1
"1293","13","6B",1
"1294","13","6C/D",1
"1295","13","6E",0
"1296","13","6F",0
"1297","13","6G",0
"1298","13","7A",0
"1299","13","7B/C",0
"1300","13","7F",0
"1301","13","8",0
"1302","13","9A",1
"1303","13","9L",0
"1304","13","9N",0
"1305","13","9V",2
"1306","14","15A",6
"1307","14","15B/C",6
"1308","14","15F",0
"1309","14","16A",0
"1310","14","16F",0
"1311","14","17A",0
"1312","14","17F",0
"1313","14","18A",0
"1314","14","18B",0
"1315","14","18C",4
"1316","14","18F",1
"1317","14","19A",28
"1318","14","19B",1
"1319","14","19C",1
"1320","14","19F",22
"1321","14","19А",0
"1322","14","2",0
"1323","14","20A",0
"1324","14","20B",0
"1325","14","21",1
"1326","14","22A",0
"1327","14","22F",2
"1328","14","23A",2
"1329","14","23B",3
"1330","14","23F",11
"1331","14","24A",0
"1332","14","24B",0
"1333","14","24F",4
"1334","14","25A",0
"1335","14","25F",0
"1336","14","27",0
"1337","14","28A",0
"1338","14","28F",0
"1339","14","29",0
"1340","14","3",6
"1341","14","31",2
"1342","14","32A",0
"1343","14","32F",0
"1344","14","33A",0
"1345","14","33B",0
"1346","14","33C",0
"1347","14","33D",0
"1348","14","33F",0
"1349","14","34",0
"1350","14","35A",0
"1351","14","35B",4
"1352","14","35C",0
"1353","14","35F",1
"1354","14","36",0
"1355","14","37",0
"1356","14","38",2
"1357","14","39",0
"1358","14","4",7
"1359","14","40",0
"1360","14","41A",0
"1361","14","41F",0
"1362","14","42",1
"1363","14","43",0
"1364","14","44",0
"1365","14","45",0
"1366","14","46",0
"1367","14","47A",0
"1368","14","47F",0
"1369","14","48",0
"1370","14","5",0
"1371","14","6A",8
"1372","14","6B",12
"1373","14","6C/D",3
"1374","14","6E",1
"1375","14","6F",0
"1376","14","6G",0
"1377","14","7A",1
"1378","14","7B/C",2
"1379","14","7F",4
"1380","14","8",1
"1381","14","9A",2
"1382","14","9L",2
"1383","14","9N",3
"1384","14","9V",11
"1385","15A","15B/C",15
"1386","15A","15F",4
"1387","15A","16A",0
"1388","15A","16F",0
"1389","15A","17A",0
"1390","15A","17F",1
"1391","15A","18A",0
"1392","15A","18B",0
"1393","15A","18C",1
"1394","15A","18F",0
"1395","15A","19A",13
"1396","15A","19B",1
"1397","15A","19C",0
"1398","15A","19F",10
"1399","15A","19А",0
"1400","15A","2",0
"1401","15A","20A",0
"1402","15A","20B",0
"1403","15A","21",2
"1404","15A","22A",0
"1405","15A","22F",0
"1406","15A","23A",4
"1407","15A","23B",2
"1408","15A","23F",5
"1409","15A","24A",0
"1410","15A","24B",0
"1411","15A","24F",0
"1412","15A","25A",0
"1413","15A","25F",0
"1414","15A","27",0
"1415","15A","28A",0
"1416","15A","28F",0
"1417","15A","29",0
"1418","15A","3",5
"1419","15A","31",1
"1420","15A","32A",0
"1421","15A","32F",0
"1422","15A","33A",0
"1423","15A","33B",0
"1424","15A","33C",0
"1425","15A","33D",0
"1426","15A","33F",1
"1427","15A","34",0
"1428","15A","35A",0
"1429","15A","35B",1
"1430","15A","35C",0
"1431","15A","35F",0
"1432","15A","36",0
"1433","15A","37",1
"1434","15A","38",1
"1435","15A","39",0
"1436","15A","4",1
"1437","15A","40",0
"1438","15A","41A",0
"1439","15A","41F",0
"1440","15A","42",0
"1441","15A","43",0
"1442","15A","44",0
"1443","15A","45",0
"1444","15A","46",0
"1445","15A","47A",0
"1446","15A","47F",0
"1447","15A","48",0
"1448","15A","5",0
"1449","15A","6A",2
"1450","15A","6B",4
"1451","15A","6C/D",1
"1452","15A","6E",0
"1453","15A","6F",0
"1454","15A","6G",0
"1455","15A","7A",0
"1456","15A","7B/C",1
"1457","15A","7F",0
"1458","15A","8",1
"1459","15A","9A",1
"1460","15A","9L",0
"1461","15A","9N",0
"1462","15A","9V",1
"1463","15B/C","15F",5
"1464","15B/C","16A",0
"1465","15B/C","16F",0
"1466","15B/C","17A",0
"1467","15B/C","17F",2
"1468","15B/C","18A",0
"1469","15B/C","18B",0
"1470","15B/C","18C",5
"1471","15B/C","18F",0
"1472","15B/C","19A",23
"1473","15B/C","19B",1
"1474","15B/C","19C",0
"1475","15B/C","19F",14
"1476","15B/C","19А",0
"1477","15B/C","2",0
"1478","15B/C","20A",0
"1479","15B/C","20B",0
"1480","15B/C","21",2
"1481","15B/C","22A",1
"1482","15B/C","22F",1
"1483","15B/C","23A",7
"1484","15B/C","23B",2
"1485","15B/C","23F",8
"1486","15B/C","24A",1
"1487","15B/C","24B",0
"1488","15B/C","24F",2
"1489","15B/C","25A",0
"1490","15B/C","25F",0
"1491","15B/C","27",0
"1492","15B/C","28A",0
"1493","15B/C","28F",0
"1494","15B/C","29",0
"1495","15B/C","3",4
"1496","15B/C","31",2
"1497","15B/C","32A",0
"1498","15B/C","32F",0
"1499","15B/C","33A",0
"1500","15B/C","33B",0
"1501","15B/C","33C",0
"1502","15B/C","33D",0
"1503","15B/C","33F",0
"1504","15B/C","34",0
"1505","15B/C","35A",1
"1506","15B/C","35B",5
"1507","15B/C","35C",0
"1508","15B/C","35F",0
"1509","15B/C","36",0
"1510","15B/C","37",0
"1511","15B/C","38",2
"1512","15B/C","39",0
"1513","15B/C","4",3
"1514","15B/C","40",0
"1515","15B/C","41A",0
"1516","15B/C","41F",0
"1517","15B/C","42",0
"1518","15B/C","43",0
"1519","15B/C","44",0
"1520","15B/C","45",0
"1521","15B/C","46",0
"1522","15B/C","47A",0
"1523","15B/C","47F",0
"1524","15B/C","48",0
"1525","15B/C","5",0
"1526","15B/C","6A",6
"1527","15B/C","6B",8
"1528","15B/C","6C/D",4
"1529","15B/C","6E",0
"1530","15B/C","6F",0
"1531","15B/C","6G",0
"1532","15B/C","7A",0
"1533","15B/C","7B/C",2
"1534","15B/C","7F",0
"1535","15B/C","8",1
"1536","15B/C","9A",1
"1537","15B/C","9L",0
"1538","15B/C","9N",1
"1539","15B/C","9V",7
"1540","15F","16A",0
"1541","15F","16F",0
"1542","15F","17A",0
"1543","15F","17F",1
"1544","15F","18A",0
"1545","15F","18B",0
"1546","15F","18C",0
"1547","15F","18F",0
"1548","15F","19A",5
"1549","15F","19B",1
"1550","15F","19C",0
"1551","15F","19F",3
"1552","15F","19А",0
"1553","15F","2",0
"1554","15F","20A",0
"1555","15F","20B",0
"1556","15F","21",0
"1557","15F","22A",0
"1558","15F","22F",0
"1559","15F","23A",1
"1560","15F","23B",0
"1561","15F","23F",2
"1562","15F","24A",0
"1563","15F","24B",0
"1564","15F","24F",0
"1565","15F","25A",0
"1566","15F","25F",0
"1567","15F","27",0
"1568","15F","28A",0
"1569","15F","28F",0
"1570","15F","29",0
"1571","15F","3",2
"1572","15F","31",0
"1573","15F","32A",0
"1574","15F","32F",0
"1575","15F","33A",0
"1576","15F","33B",0
"1577","15F","33C",0
"1578","15F","33D",0
"1579","15F","33F",1
"1580","15F","34",0
"1581","15F","35A",0
"1582","15F","35B",0
"1583","15F","35C",0
"1584","15F","35F",0
"1585","15F","36",0
"1586","15F","37",0
"1587","15F","38",0
"1588","15F","39",0
"1589","15F","4",0
"1590","15F","40",0
"1591","15F","41A",0
"1592","15F","41F",0
"1593","15F","42",0
"1594","15F","43",0
"1595","15F","44",0
"1596","15F","45",0
"1597","15F","46",0
"1598","15F","47A",0
"1599","15F","47F",0
"1600","15F","48",1
"1601","15F","5",0
"1602","15F","6A",0
"1603","15F","6B",0
"1604","15F","6C/D",0
"1605","15F","6E",0
"1606","15F","6F",0
"1607","15F","6G",0
"1608","15F","7A",0
"1609","15F","7B/C",2
"1610","15F","7F",0
"1611","15F","8",0
"1612","15F","9A",0
"1613","15F","9L",0
"1614","15F","9N",0
"1615","15F","9V",0
"1616","16A","16F",1
"1617","16A","17A",0
"1618","16A","17F",0
"1619","16A","18A",0
"1620","16A","18B",0
"1621","16A","18C",0
"1622","16A","18F",0
"1623","16A","19A",0
"1624","16A","19B",0
"1625","16A","19C",0
"1626","16A","19F",0
"1627","16A","19А",0
"1628","16A","2",0
"1629","16A","20A",0
"1630","16A","20B",0
"1631","16A","21",0
"1632","16A","22A",0
"1633","16A","22F",0
"1634","16A","23A",0
"1635","16A","23B",0
"1636","16A","23F",0
"1637","16A","24A",0
"1638","16A","24B",0
"1639","16A","24F",0
"1640","16A","25A",0
"1641","16A","25F",0
"1642","16A","27",0
"1643","16A","28A",0
"1644","16A","28F",0
"1645","16A","29",0
"1646","16A","3",0
"1647","16A","31",0
"1648","16A","32A",0
"1649","16A","32F",0
"1650","16A","33A",0
"1651","16A","33B",0
"1652","16A","33C",0
"1653","16A","33D",0
"1654","16A","33F",0
"1655","16A","34",0
"1656","16A","35A",0
"1657","16A","35B",0
"1658","16A","35C",0
"1659","16A","35F",0
"1660","16A","36",0
"1661","16A","37",0
"1662","16A","38",0
"1663","16A","39",0
"1664","16A","4",0
"1665","16A","40",0
"1666","16A","41A",0
"1667","16A","41F",0
"1668","16A","42",0
"1669","16A","43",0
"1670","16A","44",0
"1671","16A","45",0
"1672","16A","46",0
"1673","16A","47A",0
"1674","16A","47F",0
"1675","16A","48",0
"1676","16A","5",0
"1677","16A","6A",0
"1678","16A","6B",0
"1679","16A","6C/D",0
"1680","16A","6E",0
"1681","16A","6F",0
"1682","16A","6G",0
"1683","16A","7A",0
"1684","16A","7B/C",0
"1685","16A","7F",0
"1686","16A","8",0
"1687","16A","9A",0
"1688","16A","9L",0
"1689","16A","9N",0
"1690","16A","9V",0
"1691","16F","17A",0
"1692","16F","17F",0
"1693","16F","18A",0
"1694","16F","18B",0
"1695","16F","18C",0
"1696","16F","18F",0
"1697","16F","19A",3
"1698","16F","19B",0
"1699","16F","19C",0
"1700","16F","19F",2
"1701","16F","19А",0
"1702","16F","2",0
"1703","16F","20A",0
"1704","16F","20B",0
"1705","16F","21",0
"1706","16F","22A",1
"1707","16F","22F",2
"1708","16F","23A",0
"1709","16F","23B",0
"1710","16F","23F",1
"1711","16F","24A",0
"1712","16F","24B",0
"1713","16F","24F",0
"1714","16F","25A",0
"1715","16F","25F",0
"1716","16F","27",0
"1717","16F","28A",0
"1718","16F","28F",0
"1719","16F","29",0
"1720","16F","3",1
"1721","16F","31",0
"1722","16F","32A",0
"1723","16F","32F",0
"1724","16F","33A",1
"1725","16F","33B",0
"1726","16F","33C",0
"1727","16F","33D",0
"1728","16F","33F",1
"1729","16F","34",0
"1730","16F","35A",0
"1731","16F","35B",0
"1732","16F","35C",0
"1733","16F","35F",0
"1734","16F","36",0
"1735","16F","37",1
"1736","16F","38",0
"1737","16F","39",0
"1738","16F","4",0
"1739","16F","40",0
"1740","16F","41A",0
"1741","16F","41F",0
"1742","16F","42",0
"1743","16F","43",0
"1744","16F","44",0
"1745","16F","45",0
"1746","16F","46",0
"1747","16F","47A",0
"1748","16F","47F",0
"1749","16F","48",0
"1750","16F","5",0
"1751","16F","6A",1
"1752","16F","6B",1
"1753","16F","6C/D",0
"1754","16F","6E",0
"1755","16F","6F",0
"1756","16F","6G",0
"1757","16F","7A",0
"1758","16F","7B/C",0
"1759","16F","7F",0
"1760","16F","8",2
"1761","16F","9A",0
"1762","16F","9L",0
"1763","16F","9N",0
"1764","16F","9V",0
"1765","17A","17F",0
"1766","17A","18A",0
"1767","17A","18B",0
"1768","17A","18C",0
"1769","17A","18F",0
"1770","17A","19A",0
"1771","17A","19B",0
"1772","17A","19C",0
"1773","17A","19F",0
"1774","17A","19А",0
"1775","17A","2",0
"1776","17A","20A",0
"1777","17A","20B",0
"1778","17A","21",0
"1779","17A","22A",0
"1780","17A","22F",0
"1781","17A","23A",0
"1782","17A","23B",0
"1783","17A","23F",0
"1784","17A","24A",0
"1785","17A","24B",0
"1786","17A","24F",0
"1787","17A","25A",0
"1788","17A","25F",0
"1789","17A","27",0
"1790","17A","28A",0
"1791","17A","28F",0
"1792","17A","29",0
"1793","17A","3",0
"1794","17A","31",0
"1795","17A","32A",0
"1796","17A","32F",0
"1797","17A","33A",0
"1798","17A","33B",0
"1799","17A","33C",0
"1800","17A","33D",0
"1801","17A","33F",0
"1802","17A","34",0
"1803","17A","35A",0
"1804","17A","35B",0
"1805","17A","35C",0
"1806","17A","35F",0
"1807","17A","36",0
"1808","17A","37",0
"1809","17A","38",0
"1810","17A","39",0
"1811","17A","4",0
"1812","17A","40",0
"1813","17A","41A",0
"1814","17A","41F",0
"1815","17A","42",0
"1816","17A","43",0
"1817","17A","44",0
"1818","17A","45",0
"1819","17A","46",0
"1820","17A","47A",0
"1821","17A","47F",0
"1822","17A","48",0
"1823","17A","5",0
"1824","17A","6A",0
"1825","17A","6B",0
"1826","17A","6C/D",0
"1827","17A","6E",0
"1828","17A","6F",0
"1829","17A","6G",0
"1830","17A","7A",0
"1831","17A","7B/C",0
"1832","17A","7F",0
"1833","17A","8",0
"1834","17A","9A",0
"1835","17A","9L",0
"1836","17A","9N",0
"1837","17A","9V",0
"1838","17F","18A",0
"1839","17F","18B",0
"1840","17F","18C",0
"1841","17F","18F",0
"1842","17F","19A",2
"1843","17F","19B",0
"1844","17F","19C",0
"1845","17F","19F",1
"1846","17F","19А",0
"1847","17F","2",1
"1848","17F","20A",0
"1849","17F","20B",0
"1850","17F","21",0
"1851","17F","22A",2
"1852","17F","22F",0
"1853","17F","23A",1
"1854","17F","23B",0
"1855","17F","23F",5
"1856","17F","24A",0
"1857","17F","24B",0
"1858","17F","24F",0
"1859","17F","25A",0
"1860","17F","25F",0
"1861","17F","27",0
"1862","17F","28A",0
"1863","17F","28F",0
"1864","17F","29",0
"1865","17F","3",1
"1866","17F","31",0
"1867","17F","32A",0
"1868","17F","32F",0
"1869","17F","33A",0
"1870","17F","33B",0
"1871","17F","33C",0
"1872","17F","33D",0
"1873","17F","33F",0
"1874","17F","34",0
"1875","17F","35A",0
"1876","17F","35B",1
"1877","17F","35C",1
"1878","17F","35F",0
"1879","17F","36",0
"1880","17F","37",0
"1881","17F","38",1
"1882","17F","39",0
"1883","17F","4",1
"1884","17F","40",0
"1885","17F","41A",0
"1886","17F","41F",0
"1887","17F","42",0
"1888","17F","43",0
"1889","17F","44",0
"1890","17F","45",0
"1891","17F","46",0
"1892","17F","47A",0
"1893","17F","47F",0
"1894","17F","48",1
"1895","17F","5",0
"1896","17F","6A",0
"1897","17F","6B",2
"1898","17F","6C/D",1
"1899","17F","6E",0
"1900","17F","6F",0
"1901","17F","6G",0
"1902","17F","7A",0
"1903","17F","7B/C",0
"1904","17F","7F",0
"1905","17F","8",0
"1906","17F","9A",0
"1907","17F","9L",0
"1908","17F","9N",0
"1909","17F","9V",1
"1910","18A","18B",2
"1911","18A","18C",1
"1912","18A","18F",1
"1913","18A","19A",0
"1914","18A","19B",0
"1915","18A","19C",0
"1916","18A","19F",0
"1917","18A","19А",0
"1918","18A","2",0
"1919","18A","20A",0
"1920","18A","20B",0
"1921","18A","21",0
"1922","18A","22A",0
"1923","18A","22F",0
"1924","18A","23A",0
"1925","18A","23B",0
"1926","18A","23F",1
"1927","18A","24A",0
"1928","18A","24B",0
"1929","18A","24F",0
"1930","18A","25A",0
"1931","18A","25F",0
"1932","18A","27",0
"1933","18A","28A",0
"1934","18A","28F",0
"1935","18A","29",0
"1936","18A","3",0
"1937","18A","31",0
"1938","18A","32A",0
"1939","18A","32F",0
"1940","18A","33A",0
"1941","18A","33B",0
"1942","18A","33C",0
"1943","18A","33D",0
"1944","18A","33F",0
"1945","18A","34",0
"1946","18A","35A",0
"1947","18A","35B",0
"1948","18A","35C",0
"1949","18A","35F",0
"1950","18A","36",0
"1951","18A","37",0
"1952","18A","38",0
"1953","18A","39",0
"1954","18A","4",0
"1955","18A","40",0
"1956","18A","41A",0
"1957","18A","41F",0
"1958","18A","42",0
"1959","18A","43",0
"1960","18A","44",0
"1961","18A","45",0
"1962","18A","46",0
"1963","18A","47A",0
"1964","18A","47F",0
"1965","18A","48",0
"1966","18A","5",0
"1967","18A","6A",0
"1968","18A","6B",1
"1969","18A","6C/D",0
"1970","18A","6E",0
"1971","18A","6F",0
"1972","18A","6G",0
"1973","18A","7A",0
"1974","18A","7B/C",0
"1975","18A","7F",0
"1976","18A","8",0
"1977","18A","9A",0
"1978","18A","9L",0
"1979","18A","9N",0
"1980","18A","9V",0
"1981","18B","18C",10
"1982","18B","18F",1
"1983","18B","19A",1
"1984","18B","19B",0
"1985","18B","19C",0
"1986","18B","19F",0
"1987","18B","19А",0
"1988","18B","2",0
"1989","18B","20A",0
"1990","18B","20B",0
"1991","18B","21",0
"1992","18B","22A",0
"1993","18B","22F",1
"1994","18B","23A",0
"1995","18B","23B",0
"1996","18B","23F",0
"1997","18B","24A",0
"1998","18B","24B",0
"1999","18B","24F",1
"2000","18B","25A",0
"2001","18B","25F",0
"2002","18B","27",0
"2003","18B","28A",0
"2004","18B","28F",0
"2005","18B","29",0
"2006","18B","3",0
"2007","18B","31",0
"2008","18B","32A",0
"2009","18B","32F",0
"2010","18B","33A",0
"2011","18B","33B",0
"2012","18B","33C",0
"2013","18B","33D",0
"2014","18B","33F",0
"2015","18B","34",0
"2016","18B","35A",0
"2017","18B","35B",0
"2018","18B","35C",0
"2019","18B","35F",0
"2020","18B","36",0
"2021","18B","37",0
"2022","18B","38",0
"2023","18B","39",0
"2024","18B","4",0
"2025","18B","40",0
"2026","18B","41A",0
"2027","18B","41F",0
"2028","18B","42",0
"2029","18B","43",0
"2030","18B","44",0
"2031","18B","45",0
"2032","18B","46",0
"2033","18B","47A",0
"2034","18B","47F",0
"2035","18B","48",0
"2036","18B","5",0
"2037","18B","6A",0
"2038","18B","6B",0
"2039","18B","6C/D",0
"2040","18B","6E",0
"2041","18B","6F",0
"2042","18B","6G",0
"2043","18B","7A",0
"2044","18B","7B/C",0
"2045","18B","7F",1
"2046","18B","8",0
"2047","18B","9A",0
"2048","18B","9L",0
"2049","18B","9N",0
"2050","18B","9V",0
"2051","18C","18F",3
"2052","18C","19A",5
"2053","18C","19B",0
"2054","18C","19C",0
"2055","18C","19F",3
"2056","18C","19А",0
"2057","18C","2",0
"2058","18C","20A",0
"2059","18C","20B",0
"2060","18C","21",3
"2061","18C","22A",0
"2062","18C","22F",2
"2063","18C","23A",0
"2064","18C","23B",0
"2065","18C","23F",2
"2066","18C","24A",0
"2067","18C","24B",0
"2068","18C","24F",2
"2069","18C","25A",0
"2070","18C","25F",0
"2071","18C","27",0
"2072","18C","28A",0
"2073","18C","28F",0
"2074","18C","29",0
"2075","18C","3",1
"2076","18C","31",0
"2077","18C","32A",0
"2078","18C","32F",0
"2079","18C","33A",1
"2080","18C","33B",1
"2081","18C","33C",0
"2082","18C","33D",0
"2083","18C","33F",1
"2084","18C","34",0
"2085","18C","35A",1
"2086","18C","35B",1
"2087","18C","35C",0
"2088","18C","35F",1
"2089","18C","36",0
"2090","18C","37",0
"2091","18C","38",1
"2092","18C","39",0
"2093","18C","4",3
"2094","18C","40",0
"2095","18C","41A",0
"2096","18C","41F",0
"2097","18C","42",0
"2098","18C","43",0
"2099","18C","44",0
"2100","18C","45",0
"2101","18C","46",0
"2102","18C","47A",0
"2103","18C","47F",0
"2104","18C","48",0
"2105","18C","5",0
"2106","18C","6A",2
"2107","18C","6B",3
"2108","18C","6C/D",0
"2109","18C","6E",0
"2110","18C","6F",0
"2111","18C","6G",0
"2112","18C","7A",1
"2113","18C","7B/C",0
"2114","18C","7F",3
"2115","18C","8",1
"2116","18C","9A",0
"2117","18C","9L",0
"2118","18C","9N",1
"2119","18C","9V",2
"2120","18F","19A",1
"2121","18F","19B",0
"2122","18F","19C",0
"2123","18F","19F",1
"2124","18F","19А",0
"2125","18F","2",0
"2126","18F","20A",0
"2127","18F","20B",0
"2128","18F","21",0
"2129","18F","22A",1
"2130","18F","22F",0
"2131","18F","23A",0
"2132","18F","23B",0
"2133","18F","23F",1
"2134","18F","24A",0
"2135","18F","24B",0
"2136","18F","24F",1
"2137","18F","25A",0
"2138","18F","25F",0
"2139","18F","27",0
"2140","18F","28A",0
"2141","18F","28F",0
"2142","18F","29",0
"2143","18F","3",0
"2144","18F","31",0
"2145","18F","32A",0
"2146","18F","32F",0
"2147","18F","33A",0
"2148","18F","33B",0
"2149","18F","33C",0
"2150","18F","33D",0
"2151","18F","33F",0
"2152","18F","34",0
"2153","18F","35A",0
"2154","18F","35B",0
"2155","18F","35C",0
"2156","18F","35F",0
"2157","18F","36",0
"2158","18F","37",0
"2159","18F","38",0
"2160","18F","39",0
"2161","18F","4",0
"2162","18F","40",0
"2163","18F","41A",0
"2164","18F","41F",0
"2165","18F","42",0
"2166","18F","43",0
"2167","18F","44",0
"2168","18F","45",0
"2169","18F","46",0
"2170","18F","47A",0
"2171","18F","47F",0
"2172","18F","48",0
"2173","18F","5",0
"2174","18F","6A",1
"2175","18F","6B",1
"2176","18F","6C/D",1
"2177","18F","6E",0
"2178","18F","6F",0
"2179","18F","6G",0
"2180","18F","7A",0
"2181","18F","7B/C",0
"2182","18F","7F",1
"2183","18F","8",0
"2184","18F","9A",0
"2185","18F","9L",0
"2186","18F","9N",0
"2187","18F","9V",0
"2188","19A","19B",1
"2189","19A","19C",1
"2190","19A","19F",60
"2191","19A","19А",1
"2192","19A","2",0
"2193","19A","20A",0
"2194","19A","20B",0
"2195","19A","21",4
"2196","19A","22A",1
"2197","19A","22F",4
"2198","19A","23A",10
"2199","19A","23B",7
"2200","19A","23F",31
"2201","19A","24A",0
"2202","19A","24B",0
"2203","19A","24F",4
"2204","19A","25A",0
"2205","19A","25F",0
"2206","19A","27",1
"2207","19A","28A",0
"2208","19A","28F",0
"2209","19A","29",2
"2210","19A","3",8
"2211","19A","31",2
"2212","19A","32A",0
"2213","19A","32F",0
"2214","19A","33A",0
"2215","19A","33B",0
"2216","19A","33C",0
"2217","19A","33D",0
"2218","19A","33F",1
"2219","19A","34",4
"2220","19A","35A",0
"2221","19A","35B",8
"2222","19A","35C",1
"2223","19A","35F",0
"2224","19A","36",0
"2225","19A","37",1
"2226","19A","38",1
"2227","19A","39",0
"2228","19A","4",6
"2229","19A","40",0
