"","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"415","22F - 29","22F","29",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"416","22F - 3","22F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"417","22F - 33A","22F","33A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"418","22F - 33F","22F","33F",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"419","22F - 35B","22F","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"420","22F - 35C","22F","35C",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"421","22F - 4","22F","4",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"422","22F - 42","22F","42",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"423","22F - 8","22F","8",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"424","22F - 9N","22F","9N",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"425","22F - 9V","22F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"426","23A - 23B","23A","23B",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"427","23A - 23F","23A","23F",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"428","23A - 24B","23A","24B",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"429","23A - 24F","23A","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"430","23A - 3","23A","3",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"431","23A - 31","23A","31",0,0,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"432","23A - 33A","23A","33A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"433","23A - 33F","23A","33F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"434","23A - 35B","23A","35B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"435","23A - 38","23A","38",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"436","23A - 4","23A","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"437","23A - 6A","23A","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"438","23A - 6B","23A","6B",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"439","23A - 6C/D","23A","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"440","23A - 7B/C","23A","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"441","23A - 8","23A","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"442","23A - 9A","23A","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"443","23A - 9V","23A","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"444","23B - 23F","23B","23F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"445","23B - 3","23B","3",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"446","23B - 31","23B","31",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"447","23B - 35B","23B","35B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"448","23B - 42","23B","42",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"449","23B - 6A","23B","6A",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"450","23B - 6B","23B","6B",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"451","23B - 6C/D","23B","6C/D",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"452","23B - 8","23B","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"453","23B - 9V","23B","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"454","23F - 24F","23F","24F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"455","23F - 29","23F","29",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"456","23F - 3","23F","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"457","23F - 31","23F","31",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"458","23F - 32F","23F","32F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"459","23F - 35B","23F","35B",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"460","23F - 35C","23F","35C",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"461","23F - 38","23F","38",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"462","23F - 4","23F","4",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"463","23F - 42","23F","42",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"464","23F - 48","23F","48",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"465","23F - 5","23F","5",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"466","23F - 6A","23F","6A",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"467","23F - 6B","23F","6B",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"468","23F - 6C/D","23F","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"469","23F - 6E","23F","6E",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"470","23F - 7B/C","23F","7B/C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"471","23F - 7F","23F","7F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"472","23F - 8","23F","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"473","23F - 9A","23F","9A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"474","23F - 9L","23F","9L",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"475","23F - 9N","23F","9N",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"476","23F - 9V","23F","9V",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"477","24A - 24F","24A","24F",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,2.5
"478","24A - 48","24A","48",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"479","24B - 24F","24B","24F",1,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"480","24B - 35B","24B","35B",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1.5
"481","24F - 3","24F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"482","24F - 35B","24F","35B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"483","24F - 4","24F","4",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"484","24F - 6A","24F","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"485","24F - 6B","24F","6B",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"486","24F - 6E","24F","6E",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"487","24F - 7B/C","24F","7B/C",0,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"488","24F - 7F","24F","7F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"489","24F - 9N","24F","9N",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"490","24F - 9V","24F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"491","25A - 25F","25A","25F",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"492","25A - 29","25A","29",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,2.5
"493","25A - 38","25A","38",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"494","25A - 7F","25A","7F",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1.5
"495","25F - 38","25F","38",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"496","28F - 33B","28F","33B",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,2.5
"497","28F - 33D","28F","33D",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"498","29 - 35B","29","35B",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"499","29 - 35C","29","35C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"500","29 - 35F","29","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"501","29 - 6E","29","6E",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"502","29 - 9V","29","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"503","3 - 33A","3","33A",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"504","3 - 33F","3","33F",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"505","3 - 35B","3","35B",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"506","3 - 35F","3","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"507","3 - 37","3","37",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"508","3 - 38","3","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"509","3 - 4","3","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"510","3 - 42","3","42",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"511","3 - 48","3","48",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"512","3 - 6A","3","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"513","3 - 6B","3","6B",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"514","3 - 6C/D","3","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"515","3 - 6E","3","6E",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"516","3 - 7A","3","7A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"517","3 - 7B/C","3","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"518","3 - 7F","3","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"519","3 - 8","3","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"520","3 - 9A","3","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"521","3 - 9V","3","9V",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"522","31 - 35B","31","35B",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,1.5
"523","31 - 38","31","38",0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,1.5
"524","31 - 8","31","8",0,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"525","31 - 9A","31","9A",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,1.25
"526","31 - 9N","31","9N",0,0,1,1,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,3.75
"527","31 - 9V","31","9V",0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0.25,1.25
"528","32F - 35F","32F","35F",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,2.5
"529","33A - 33B","33A","33B",0,1,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,2.5
"530","33A - 33F","33A","33F",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"531","33A - 35F","33A","35F",0,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0,1.25
"532","33A - 6A","33A","6A",0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.5
"533","33A - 8","33A","8",0,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,1.5
"534","33B - 33D","33B","33D",1,1,0,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"535","33B - 33F","33B","33F",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,1.25
"536","33B - 35F","33B","35F",0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,0,1
"537","33B - 6A","33B","6A",0,0,1,0,0.25,0,0.25,0,0.25,0,0.25,0,2
"538","33B - 6B","33B","6B",0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.5
"539","33C - 6B","33C","6B",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"540","33D - 6A","33D","6A",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"541","33D - 6B","33D","6B",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"542","33F - 35F","33F","35F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"543","33F - 37","33F","37",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"544","33F - 6A","33F","6A",0,0,0,0,0,0,0,0,0,0,0,0,0
"545","33F - 8","33F","8",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"546","33F - 9V","33F","9V",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"547","34 - 37","34","37",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"548","34 - 5","34","5",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"549","34 - 6A","34","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"550","34 - 6B","34","6B",0,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,2.25
"551","34 - 6C/D","34","6C/D",0,0,1,0,0.25,0,0.25,0,0,0,0.25,0,1.75
"552","34 - 9L","34","9L",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"553","35A - 35B","35A","35B",0,1,1,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,3.5
"554","35A - 35C","35A","35C",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"555","35A - 35F","35A","35F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"556","35A - 9V","35A","9V",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"557","35B - 35C","35B","35C",0,0,1,1,0,0,0.25,0,0,0.25,0.25,0.25,3
"558","35B - 38","35B","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"559","35B - 4","35B","4",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"560","35B - 6A","35B","6A",1,0,1,0,0.25,0,0,0,0,0,0.25,0,2.5
"561","35B - 6B","35B","6B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"562","35B - 6C/D","35B","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"563","35B - 7A","35B","7A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"564","35B - 7B/C","35B","7B/C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"565","35B - 9A","35B","9A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"566","35B - 9N","35B","9N",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"567","35B - 9V","35B","9V",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0.25,4
"568","35C - 35F","35C","35F",0,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"569","35C - 36","35C","36",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"570","35C - 42","35C","42",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"571","35C - 9V","35C","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"572","35F - 6A","35F","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"573","35F - 7F","35F","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"574","37 - 6A","37","6A",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"575","37 - 6B","37","6B",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"576","38 - 4","38","4",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"577","38 - 7A","38","7A",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0,2
"578","38 - 7F","38","7F",0,1,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"579","38 - 9A","38","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"580","38 - 9V","38","9V",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"581","4 - 5","4","5",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"582","4 - 6B","4","6B",0,0,1,0,0,0.25,0,0,0,0,0.25,0,1.5
"583","4 - 7F","4","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"584","4 - 8","4","8",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"585","4 - 9L","4","9L",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"586","4 - 9N","4","9N",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"587","4 - 9V","4","9V",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"588","42 - 6A","42","6A",0,0,1,0,0.25,0,0,0,0.25,0,0.25,0,1.75
"589","42 - 6B","42","6B",0,0,1,0,0.25,0,0,0,0.25,0,0.25,0,1.75
"590","42 - 9V","42","9V",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"591","46 - 6B","46","6B",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"592","5 - 6A","5","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"593","6A - 6B","6A","6B",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"594","6A - 6C/D","6A","6C/D",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"595","6A - 6E","6A","6E",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0.25,4
"596","6A - 6F","6A","6F",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"597","6A - 6G","6A","6G",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"598","6A - 7F","6A","7F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"599","6A - 8","6A","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"600","6A - 9A","6A","9A",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"601","6A - 9V","6A","9V",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"602","6B - 6C/D","6B","6C/D",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"603","6B - 6E","6B","6E",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"604","6B - 6G","6B","6G",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"605","6B - 7B/C","6B","7B/C",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"606","6B - 7F","6B","7F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"607","6B - 8","6B","8",1,0,1,0,0,0,0.25,0,0,0,0,0,2.25
"608","6B - 9A","6B","9A",1,0,1,0,0,0,0,0,0,0.25,0.25,0,2.5
"609","6B - 9N","6B","9N",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"610","6B - 9V","6B","9V",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"611","6C/D - 6E","6C/D","6E",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"612","6C/D - 6F","6C/D","6F",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"613","6C/D - 6G","6C/D","6G",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0,2
"614","6C/D - 7F","6C/D","7F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"615","6C/D - 8","6C/D","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"616","7A - 7F","7A","7F",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"617","7B/C - 9V","7B/C","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"618","7F - 9N","7F","9N",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"619","7F - 9V","7F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"620","8 - 9V","8","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"621","9A - 9L","9A","9L",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"622","9A - 9V","9A","9V",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"623","9L - 9N","9L","9N",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"624","9L - 9V","9L","9V",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"625","9N - 9V","9N","9V",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
